policy,objective,overlap_threshold,delta_rel,runtime_s,joint_stages,joint_blocks,joint_stage_depth,joint_range_entries,joint_ternary_entries,joint_codeword_length,joint_register_depth,joint_register_count,joint_register_sram_bits,joint_range_depth,joint_ternary_depth,joint_range_tables,joint_ternary_tables,counterfactual_disjoint_stages,counterfactual_disjoint_blocks,counterfactual_disjoint_stage_depth,counterfactual_disjoint_range_entries,counterfactual_disjoint_ternary_entries,counterfactual_disjoint_codeword_length,counterfactual_disjoint_register_depth,counterfactual_disjoint_register_count,counterfactual_disjoint_register_sram_bits,counterfactual_disjoint_range_depth,counterfactual_disjoint_ternary_depth,counterfactual_disjoint_range_tables,counterfactual_disjoint_ternary_tables,blocks,stages,codeword_length,acc_app,f1_app,acc_ddos,f1_ddos,source_arm,M,split,k,align_attempted,align_accepted,align_intervals_before,align_codeword_before,align_codeword_floor,align_rolled_back,align_key_bytes_before,align_key_bytes_floor,align_ternary_stages_before,align_stage_target,align_bits_to_reach,align_intervals_after,align_codeword_after,align_key_bytes_after,align_ternary_stages_after,align_spent_budget
none,blocks,0.5,0.2,0.0,2,8,5,202,113,100,3,2,131072,4,5,2,2,2,7,5,237,113,68,3,2,131072,4,5,4,2,8,2,100,0.7367776689520078,0.7376262158019233,0.949,0.9489913795431428,joint-d020,25,10,2,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0543353557586669,2,8,5,191,113,94,3,2,131072,4,5,2,2,2,7,5,240,113,68,3,2,131072,4,5,4,2,8,2,94,0.7365328109696376,0.7373854133040794,0.949,0.9489913795431428,joint-d020,25,10,2,14.0,4.0,102.0,100.0,68.0,True,14.0,9.0,1.0,,,96.0,94.0,12.0,1.0,False
none,blocks,0.5,0.2,0.0,4,25,7,440,219,186,4,6,393216,5,7,5,4,4,23,7,478,219,169,4,6,393216,5,7,10,4,25,4,186,0.7561214495592556,0.7573859298253164,0.9613333333333334,0.961323432131959,joint-d020,25,10,5,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0707981586456298,4,25,7,416,219,176,4,6,393216,5,7,5,4,4,23,7,476,219,169,4,6,393216,5,7,10,4,25,4,176,0.7566111655239961,0.7578490943232825,0.9613333333333334,0.961323432131959,joint-d020,25,10,5,13.0,7.0,191.0,186.0,169.0,True,25.0,23.0,2.0,16.0,,181.0,176.0,24.0,2.0,False
none,blocks,0.5,0.2,0.0,4,25,7,479,163,147,4,11,720896,5,7,9,4,4,29,7,548,163,108,4,11,720896,6,7,18,4,25,4,147,0.7296767874632712,0.7290392127830141,0.9753333333333334,0.9753320067434736,joint-d020,25,10,9,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0477828979492187,4,21,7,435,163,128,4,11,720896,5,7,9,4,4,29,7,551,163,108,4,11,720896,6,7,18,4,21,4,128,0.7076395690499511,0.7055825464086961,0.9756666666666668,0.975665474274906,joint-d020,25,10,9,17.0,12.0,156.0,147.0,112.0,False,23.0,18.0,2.0,16.0,,137.0,128.0,20.0,2.0,True
none,blocks,0.5,0.2,0.0,4,19,6,344,106,100,4,16,1048576,5,6,13,2,5,26,7,386,106,60,4,16,1048576,6,7,23,2,19,4,100,0.7453476983349657,0.7448438493386225,0.972,0.9719982078853048,joint-d020,25,10,13,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0289151668548584,4,17,6,304,106,84,4,16,1048576,5,6,13,2,5,26,7,393,106,60,4,16,1048576,6,7,23,2,17,4,84,0.7375122428991185,0.7362788324492766,0.971,0.9709976508097156,joint-d020,25,10,13,20.0,12.0,113.0,100.0,67.0,False,19.0,14.0,1.0,,,97.0,84.0,17.0,1.0,True
none,blocks,0.5,0.2,0.0,4,21,6,261,69,65,4,20,1310720,5,6,17,2,5,28,7,296,69,40,4,20,1310720,6,7,26,2,21,4,65,0.7220861900097943,0.722427653171942,0.9496666666666668,0.949635188659579,joint-d020,25,10,17,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0344908237457275,4,21,6,245,69,59,4,20,1310720,5,6,17,2,5,28,7,294,69,40,4,20,1310720,6,7,26,2,21,4,59,0.7252693437806073,0.72581322745181,0.9496666666666668,0.949635188659579,joint-d020,25,10,17,12.0,6.0,82.0,65.0,50.0,False,17.0,17.0,1.0,,,76.0,59.0,17.0,1.0,False
