policy,objective,overlap_threshold,delta_rel,runtime_s,joint_stages,joint_blocks,joint_stage_depth,joint_range_entries,joint_ternary_entries,joint_codeword_length,joint_register_depth,joint_register_count,joint_register_sram_bits,joint_range_depth,joint_ternary_depth,joint_range_tables,joint_ternary_tables,counterfactual_disjoint_stages,counterfactual_disjoint_blocks,counterfactual_disjoint_stage_depth,counterfactual_disjoint_range_entries,counterfactual_disjoint_ternary_entries,counterfactual_disjoint_codeword_length,counterfactual_disjoint_register_depth,counterfactual_disjoint_register_count,counterfactual_disjoint_register_sram_bits,counterfactual_disjoint_range_depth,counterfactual_disjoint_ternary_depth,counterfactual_disjoint_range_tables,counterfactual_disjoint_ternary_tables,blocks,stages,codeword_length,acc_app,f1_app,acc_ddos,f1_ddos,align_attempted,align_accepted,align_intervals_before,align_codeword_before,align_codeword_floor,align_rolled_back,align_key_bytes_before,align_key_bytes_floor,align_ternary_stages_before,align_stage_target,align_bits_to_reach,align_intervals_after,align_codeword_after,align_key_bytes_after,align_ternary_stages_after,align_spent_budget,source_arm,M,split,k
aligned,stages,0.5,0.2,0.039903879165649414,2,8,5,191,113,94,3,2,131072,4,5,2,2,2,7,5,240,113,68,3,2,131072,4,5,4,2,8,2,94,0.7365328109696376,0.7373854133040794,0.949,0.9489913795431427,14,4,102,100,68,True,14,9,1,,,96,94,12,1,False,joint-d020,25,10,2
aligned,stages,0.5,0.2,0.05721783638000488,4,25,7,416,219,176,4,6,393216,5,7,5,4,4,23,7,476,219,169,4,6,393216,5,7,10,4,25,4,176,0.7566111655239961,0.7578490943232825,0.9613333333333334,0.961323432131959,13,7,191,186,169,True,25,23,2,16.0,,181,176,24,2,False,joint-d020,25,10,5
aligned,stages,0.5,0.2,0.041826725006103516,4,21,7,433,163,128,4,11,720896,5,7,9,4,4,29,7,553,163,108,4,11,720896,6,7,18,4,21,4,128,0.691234084231146,0.687104441671516,0.9746666666666667,0.9746657546338335,18,12,156,147,112,False,23,18,2,16.0,,137,128,20,2,True,joint-d020,25,10,9
aligned,stages,0.5,0.2,0.034178972244262695,4,17,6,304,106,84,4,16,1048576,5,6,13,2,5,26,7,393,106,60,4,16,1048576,6,7,23,2,17,4,84,0.7375122428991185,0.7362788324492766,0.971,0.9709976508097155,20,12,113,100,67,False,19,14,1,,,97,84,17,1,True,joint-d020,25,10,13
aligned,stages,0.5,0.2,0.034193992614746094,4,21,6,245,69,59,4,20,1310720,5,6,17,2,5,28,7,294,69,40,4,20,1310720,6,7,26,2,21,4,59,0.7252693437806073,0.72581322745181,0.9496666666666667,0.949635188659579,12,6,82,65,50,False,17,17,1,,,76,59,17,1,False,joint-d020,25,10,17
aligned,stages,0.5,0.2,0.09539389610290527,2,10,5,317,187,155,3,2,131072,4,5,2,2,2,10,5,386,187,132,3,2,131072,4,5,4,2,10,2,155,0.7399608227228207,0.7405421436548434,0.947,0.9469869882507829,16,10,172,170,132,False,22,18,1,,,157,155,20,1,False,joint-d020,50,10,2
aligned,stages,0.5,0.2,0.0477299690246582,4,23,6,259,171,114,3,5,327680,4,6,5,6,3,22,5,352,171,71,3,5,327680,4,5,10,6,23,4,114,0.72820763956905,0.7305041120488633,0.9646666666666667,0.9646664154056207,18,18,140,135,77,False,19,11,2,10.0,,119,114,16,2,True,joint-d020,50,10,5
aligned,stages,0.5,0.2,0.14206790924072266,5,29,7,546,253,215,4,11,720896,5,7,9,4,5,31,7,631,253,171,4,11,720896,5,7,17,4,29,5,215,0.7600391772771793,0.7627701519708252,0.977,0.9769986480316454,31,2,228,219,177,False,30,25,2,16.0,,224,215,29,2,True,joint-d020,50,10,9
aligned,stages,0.5,0.2,0.07114005088806152,7,37,9,726,325,234,4,16,1048576,5,9,13,4,6,44,8,966,325,182,4,16,1048576,6,8,26,4,37,7,234,0.7548971596474046,0.754092577764369,0.9796666666666667,0.9796666463333131,35,35,291,278,191,False,42,29,4,32.0,32.0,247,234,36,4,True,joint-d020,50,10,13
aligned,stages,0.5,0.2,0.05285358428955078,7,41,9,803,310,243,4,20,1310720,5,9,17,4,7,50,9,1035,310,150,4,20,1310720,7,9,34,4,41,7,243,0.7463271302644466,0.7453243404307835,0.9783333333333334,0.9783288811223549,31,31,296,279,181,False,43,30,4,32.0,53.0,260,243,40,4,True,joint-d020,50,10,17
